Item,Ref_Des,Qty,Description,Value,Manufacturer,MPN,Mouser_PN,Package,Notes
1,U1,1,ARM Cortex-M7 MCU 480MHz 2MB Flash 1MB RAM,STM32H743ZIT6,STMicroelectronics,STM32H743ZIT6,511-STM32H743ZIT6,LQFP-144,Main application processor
2,U2,1,ARM Cortex-M0+ Safety Supervisor MCU 128KB Flash,STM32G071RBT6,STMicroelectronics,STM32G071RBT6,511-STM32G071RBT6,LQFP-64,Independent safety supervisor - monitors watchdog/phase conflicts
3,U3,1,FRAM 4Mbit SPI 3.3V,MB85RS4MT,Fujitsu,MB85RS4MT-G-JNERE1,865-MB85RS4MT-G-JNERE1,SOP-8,Non-volatile data log and event storage
4,U4,1,RTC I2C battery-backed SRAM,MCP7940N-I/SN,Microchip,MCP7940N-I/SN,579-MCP7940N-I/SN,SOIC-8,Real-time clock with battery backup
5,U5,1,CAN FD Transceiver 5Mbps 3.3V/5V,TCAN1042VDRQ1,Texas Instruments,TCAN1042VDRQ1,595-TCAN1042VDRQ1,SOIC-8,CAN Bus 1 - inter-board comms
6,U6,1,CAN FD Transceiver 5Mbps 3.3V/5V,TCAN1042VDRQ1,Texas Instruments,TCAN1042VDRQ1,595-TCAN1042VDRQ1,SOIC-8,CAN Bus 2 - field device comms
7,U7,1,RS-485/RS-422 Transceiver 10Mbps,MAX3485EESA+,Maxim Integrated,MAX3485EESA+,700-MAX3485EESA+T,SOIC-8,RS-485 field communications
8,U8,1,USB 3.1 Gen1 SuperSpeed Re-driver/Hub,TUSB1310A,Texas Instruments,TUSB1310AZXEQ,595-TUSB1310AZXEQ,QFN-48,USB 3.1/2.0 service port interface
9,U9,1,USB ESD Protection 5V Dual Rail,PRTR5V0U2X,Nexperia,PRTR5V0U2X215,771-PRTR5V0U2X215,SOT-363,ESD protection on USB D+/D- lines
10,U10,1,5V 1A Ultra-Low Noise LDO Regulator,TPS7A4700RGWT,Texas Instruments,TPS7A4700RGWT,595-TPS7A4700RGWT,QFN-20,Low-noise 5V rail for analog and CAN supply
11,U11,1,3.3V 1A LDO Regulator,AP2114HA-3.3TRG1,Diodes Inc,AP2114HA-3.3TRG1,621-AP2114HA-3.3TRG1,SOT-223,3.3V digital supply rail
12,U12,1,"5V/±5V 1W Isolated DC-DC Converter",R05P05D/P,Recom,R05P05D/P,919-R05P05D/P,SIP-7,Isolated 5V supply for RS-485/CAN isolation
